Spp,Reg,Latitude,Longitude,MonthMaxALA,MonthCollectionLabel,MonthsActivityALA,Batch,NameinHR
mont02,ANIC005261,-35.58333,147.3667,1,1,"01,02,12",original,NA
mont03,ANIC005307,-34.6,148.5667,1,1,"01,02,12",original,NA
mont04,ANIC005279,-34.55,148.3,1,1,"01,02,12",original,NA
mont05,ANIC005389,-34.56667,138.85,1,1,"01,02,12",original,NA
mont06,ANIC005266,-36.38334,146.2833,1,1,"01,02,12",original,NA
mult01,ANIC005406,-26.03333,153.05,10,10,"10,12",original,NA
mult02,ANIC005409,-26.65,153.1,10,12,"10,12",original,NA
mult03,ANIC005407,-26.03333,153.05,10,10,"10,12",original,NA
narm01,ANIC005476,-31.13333,138.5667,1,10,"01,02,11",original,NA
narm02,ANIC005478,-31.33333333,138.6166667,1,11,"01,02,11",original,NA
narm03,ANIC005479,-31.33333333,138.6,1,11,"01,02,11",original,NA
narm04,ANIC005462,-32.4177,137.978,1,1,"01,02,11",HR,narm1
narm05,ANIC005463,-32.4177,137.978,1,1,"01,02,11",HR,narm2
neba01,ANIC005623,-15.95,136.3667,4,4,"04,05",original,NA
neba02,ANIC005624,-15.95,136.3667,4,4,"04,05",original,NA
nebn01,ANIC005538,-15.1,145.25,4,5,"04,05,07",original,NA
nebn02,ANIC005535,-15.1,145.25,4,5,"04,05,07",original,NA
nebn03,ANIC005585,-23.55,149.65,4,12,"04,05,07",original,NA
neus01,ANIC000073,-17.76666667,145.5833333,1,1,"01,12",original,NA
neus02,ANIC000105,-18.98332977,146.1499939,1,1,"01,12",original,NA
oliv01,ANIC005962,-30.38333333,153.0333333,1,2,"01,02,12",original,NA
oliv02,ANIC005963,-30.38333333,153.0333333,1,2,"01,02,12",original,NA
opal01,PicXB13659,-31.896008,116.001395,12,12,"12,",original,NA
opal02,PicXB44124,-31.953461,115.838221,12,12,"12,",original,NA
opal03,opal03,-31.75,116.09,12,12,"12,",HR,opal1
pali01,ANIC008588,-35.3,149.1333333,12,1,"01,11,12",original,NA
pali02,ANIC008590,-35.26667023,149.1000061,12,1,"01,11,12",original,NA
pali03,ANIC008525,-31.51667,146.1,12,12,"01,11,12",original,NA
pali04,ANIC008529,-34.58333206,142.7666626,12,10,"01,11,12",original,NA
pali05,ANIC008530,-34.58333206,142.7666626,12,10,"01,11,12",original,NA
pali06,ANIC008532,-24.86667061,152.3500061,12,11,"01,11,12",original,NA
pali07,ANIC008533,-27.31666667,153,12,1,"01,11,12",original,NA
pali08,ANIC006061,-35.26667023,149.1000061,12,1,"01,11,12",HR,pali1
pali09,ANIC006062,-35.273,149.098,12,2,"01,11,12",HR,pali2
pczo01,PicXB44091,-30.360885,152.733813,1,12,"01,12",original,NA
pczo02,PicXB44094,-30.47841,152.660613,1,12,"01,12",original,NA
pczo03,PicXB44097,-30.47841,152.660613,1,12,"01,12",original,NA
pczo05,pczo05,-29.28,152.21,1,12,"01,12",HR,ocul2
pczp01,PicXB64860,-33.28,150.13,1,12,"01,11,12",original,NA
pczp02,PicXB64864,-33.3,150.23,1,2,"01,11,12",original,NA
pczp03,PicXB64868,-34.4,150.04,1,12,"01,11,12",original,NA
pczp04,PicXB64871,-34.4,150.04,1,12,"01,11,12",original,NA
pczp05,pczp05,-33.837,150.413,1,1,"01,11,12",HR,ppsi1
pczp06,pczp06,-33.421,150.309,1,12,"01,11,12",HR,ppsi2
pczv01,PicXB64850,-30.4385,153.0441,1,12,"01,12",original,NA
