ind,SpeciesName,ANIC,Pic_code,Filter,tr,label,area,mean,min,max,camera_cat,location,patch_ID
atki02,Calloodes_atkinsoni,NA,3970,LCP,Elytra,R,1.855,52.793,0,118,J25,RoI,atki02Elyt
atki02,Calloodes_atkinsoni,NA,3971,RCP,Elytra,R,1.855,49.18,23,92,J25,RoI,atki02Elyt
aurs01,Anoplognathus_aureus,AN25000244,4076,VIS,Elytra,B,1.047,38.475,26,85,J26,RoI,aurs01Elyt
aurs01,Anoplognathus_aureus,AN25000244,4077,LCP,Elytra,B,1.047,2.654,0,45,J26,RoI,aurs01Elyt
aurs01,Anoplognathus_aureus,AN25000244,4078,RCP,Elytra,B,1.047,22.633,7,47,J26,RoI,aurs01Elyt
aurs01,Anoplognathus_aureus,AN25000244,4076,VIS,Elytra,G,1.047,97.988,76,150,J26,RoI,aurs01Elyt
aurs01,Anoplognathus_aureus,AN25000244,4077,LCP,Elytra,G,1.047,108.323,83,151,J26,RoI,aurs01Elyt
aurs01,Anoplognathus_aureus,AN25000244,4078,RCP,Elytra,G,1.047,57.11,41,84,J26,RoI,aurs01Elyt
aurs01,Anoplognathus_aureus,AN25000244,4076,VIS,Elytra,R,1.047,99.139,72,140,J26,RoI,aurs01Elyt
aurs01,Anoplognathus_aureus,AN25000244,4077,LCP,Elytra,R,1.047,95.444,67,131,J26,RoI,aurs01Elyt
aurs01,Anoplognathus_aureus,AN25000244,4078,RCP,Elytra,R,1.047,81.947,57,114,J26,RoI,aurs01Elyt
aurs02,Anoplognathus_aureus,AN25000205,4080,VIS,Elytra,B,1.49,33.136,12,82,J26,RoI,aurs02Elyt
aurs02,Anoplognathus_aureus,AN25000205,4081,LCP,Elytra,B,1.49,1.027,0,84,J26,RoI,aurs02Elyt
aurs02,Anoplognathus_aureus,AN25000205,4082,RCP,Elytra,B,1.49,22.303,5,96,J26,RoI,aurs02Elyt
aurs02,Anoplognathus_aureus,AN25000205,4080,VIS,Elytra,G,1.49,95.202,64,148,J26,RoI,aurs02Elyt
aurs02,Anoplognathus_aureus,AN25000205,4081,LCP,Elytra,G,1.49,110.096,67,185,J26,RoI,aurs02Elyt
aurs02,Anoplognathus_aureus,AN25000205,4082,RCP,Elytra,G,1.49,44.992,29,114,J26,RoI,aurs02Elyt
aurs02,Anoplognathus_aureus,AN25000205,4080,VIS,Elytra,R,1.49,86.442,56,143,J26,RoI,aurs02Elyt
aurs02,Anoplognathus_aureus,AN25000205,4081,LCP,Elytra,R,1.49,89.553,53,172,J26,RoI,aurs02Elyt
aurs02,Anoplognathus_aureus,AN25000205,4082,RCP,Elytra,R,1.49,58.902,37,103,J26,RoI,aurs02Elyt
boid01,Anoplognathus_boisduvalii,AN25000331,4352,VIS,Elytra,B,3.489,42.309,15,159,F01,RoI,boid01Elyt
boid01,Anoplognathus_boisduvalii,AN25000331,4353,LCP,Elytra,B,3.489,23.951,0,121,F01,RoI,boid01Elyt
boid01,Anoplognathus_boisduvalii,AN25000331,4354,RCP,Elytra,B,3.489,25.03,0,118,F01,RoI,boid01Elyt
boid01,Anoplognathus_boisduvalii,AN25000331,4352,VIS,Elytra,G,3.489,89.714,22,192,F01,RoI,boid01Elyt
boid01,Anoplognathus_boisduvalii,AN25000331,4353,LCP,Elytra,G,3.489,76.779,15,169,F01,RoI,boid01Elyt
boid01,Anoplognathus_boisduvalii,AN25000331,4354,RCP,Elytra,G,3.489,78.087,15,171,F01,RoI,boid01Elyt
boid01,Anoplognathus_boisduvalii,AN25000331,4352,VIS,Elytra,R,3.489,114.042,22,196,F01,RoI,boid01Elyt
boid01,Anoplognathus_boisduvalii,AN25000331,4353,LCP,Elytra,R,3.489,102.166,18,175,F01,RoI,boid01Elyt
boid01,Anoplognathus_boisduvalii,AN25000331,4354,RCP,Elytra,R,3.489,105.714,19,178,F01,RoI,boid01Elyt
boid02,Anoplognathus_boisduvalii,AN25000339,4355,VIS,Elytra,B,4.154,29.503,12,126,F01,RoI,boid02Elyt
boid02,Anoplognathus_boisduvalii,AN25000339,4356,LCP,Elytra,B,4.154,9.394,0,80,F01,RoI,boid02Elyt
boid02,Anoplognathus_boisduvalii,AN25000339,4357,RCP,Elytra,B,4.154,12.473,0,95,F01,RoI,boid02Elyt
boid02,Anoplognathus_boisduvalii,AN25000339,4355,VIS,Elytra,G,4.154,59.071,26,165,F01,RoI,boid02Elyt
boid02,Anoplognathus_boisduvalii,AN25000339,4356,LCP,Elytra,G,4.154,51.935,19,124,F01,RoI,boid02Elyt
boid02,Anoplognathus_boisduvalii,AN25000339,4357,RCP,Elytra,G,4.154,46.22,17,126,F01,RoI,boid02Elyt
boid02,Anoplognathus_boisduvalii,AN25000339,4355,VIS,Elytra,R,4.154,82.056,34,179,F01,RoI,boid02Elyt
boid02,Anoplognathus_boisduvalii,AN25000339,4356,LCP,Elytra,R,4.154,76.205,27,137,F01,RoI,boid02Elyt
boid02,Anoplognathus_boisduvalii,AN25000339,4357,RCP,Elytra,R,4.154,73.898,27,141,F01,RoI,boid02Elyt
boid03,Anoplognathus_boisduvalii,AN25000366,4358,VIS,Elytra,B,5.04,32.218,0,149,F01,RoI,boid03Elyt
boid03,Anoplognathus_boisduvalii,AN25000366,4359,LCP,Elytra,B,5.04,9.508,0,112,F01,RoI,boid03Elyt
boid03,Anoplognathus_boisduvalii,AN25000366,4360,RCP,Elytra,B,5.04,9.859,0,115,F01,RoI,boid03Elyt
boid03,Anoplognathus_boisduvalii,AN25000366,4358,VIS,Elytra,G,5.04,83.429,32,201,F01,RoI,boid03Elyt
boid03,Anoplognathus_boisduvalii,AN25000366,4359,LCP,Elytra,G,5.04,74.795,25,178,F01,RoI,boid03Elyt
boid03,Anoplognathus_boisduvalii,AN25000366,4360,RCP,Elytra,G,5.04,72.287,25,157,F01,RoI,boid03Elyt
boid03,Anoplognathus_boisduvalii,AN25000366,4358,VIS,Elytra,R,5.04,114.016,51,213,F01,RoI,boid03Elyt
