species,reg,lat,lon,avg_temp_over_35,avg_max_temp,avg_min_temp,avg_sol,avg_year_sol,avg_year_vpr,cloud_cover,avg_rr,avg_vpr,avg_temp_over_35_Coll,avg_max_temp_Coll,avg_min_temp_Coll,avg_sol_Coll,avg_rr_Coll,avg_vpr_Coll
clor17,ANIC000962,-30.6,151.55,3,20.48802532,7.29345616,17.84074074,17.98647461,11.26862615,18.6339646,1.890306122,11.36751409,1.4,20.78181085,7.39106305,18.41784457,1.315615836,11.31216202
conc01,ANIC002674,-32.13334,151.45,7.3,21.10209184,10.208322,15.84998488,15.91435353,11.72930626,25.47743899,3.005498866,11.79596426,1.9,21.23504399,10.26229472,15.86825513,2.927052786,11.93377053
conc02,ANIC002675,-32.13334,151.45,7.3,21.10209184,10.208322,15.84998488,15.91435353,11.72930626,25.47743899,3.005498866,11.79596426,1.9,21.23504399,10.26229472,15.86825513,2.927052786,11.93377053
conc03,ANIC002676,-32.13334,151.45,7.3,21.10209184,10.208322,15.84998488,15.91435353,11.72930626,25.47743899,3.005498866,11.79596426,1.9,21.23504399,10.26229472,15.86825513,2.927052786,11.93377053
conc04,ANIC002682,-30.38333333,153.0333333,3.1,24.5947997,13.77317649,16.60356765,16.75770533,16.43412108,22.24142095,4.003779289,16.51956269,0.8,24.45104839,13.80017595,16.12113636,4.42829912,16.47991618
conc05,ANIC002611,-28.33333015,153.3333282,5.5,26.17265873,14.27706349,16.9864229,17.14989236,17.61710384,24.17945587,4.495861678,17.76952808,0.4,26.37330303,14.3467197,16.79002273,7.014090909,18.15851818
conc06,ANIC002612,-32.16667,151.5,11.1,21.66649282,11.21662887,15.82370748,16.17801145,13.12486034,22.57023075,3.457558579,13.3637553,4.1,22.55881029,11.49918006,16.24747588,3.323633441,13.84125482
ecry01,PicXB13671,-35.029048,117.883783,0.8,20.13507331,11.88818182,16.71653959,15.76777626,13.39165397,20.25694781,2.387536657,13.15460117,0.8,20.13507331,11.88818182,16.71653959,2.387536657,13.15460117
ecry02,PicXB44101,-35.029048,117.883783,0.8,20.13507331,11.88818182,16.71653959,15.76777626,13.39165397,20.25694781,2.387536657,13.15460117,0.8,20.13507331,11.88818182,16.71653959,2.387536657,13.15460117
ecry03,PicXB4410,-35.029048,117.883783,0.8,20.13507331,11.88818182,16.71653959,15.76777626,13.39165397,20.25694781,2.387536657,13.15460117,0.8,20.13507331,11.88818182,16.71653959,2.387536657,13.15460117
ecry04,ecry04,-34.96,117.86,1.2,20.43091642,11.72944282,15.78946481,15.74195993,13.29308657,19.70582049,2.255278592,13.09933431,1.2,20.43091642,11.72944282,15.78946481,2.255278592,13.09933431
ecry05,ecry05,-34.96,117.86,1.2,20.43091642,11.72944282,15.78946481,15.74195993,13.29308657,19.70582049,2.255278592,13.09933431,1.2,20.43091642,11.72944282,15.78946481,2.255278592,13.09933431
