Species_name,Code,ANIC Reference,Latitude,Longitude,batch,NameinHR
Anoplognathus nebulosus     ,neba02,ANIC005624,-15.95,136.3667,ThisManuscript,NA
Anoplognathus nebulosus     ,nebn01,ANIC005538,-15.1,145.25,ThisManuscript,NA
Anoplognathus nebulosus     ,nebn02,ANIC005535,-15.1,145.25,ThisManuscript,NA
Anoplognathus nebulosus     ,nebn03,ANIC005585,-23.55,149.65,ThisManuscript,NA
Anoplognathus aeneus,neus01,ANIC000073,-17.76666667,145.5833333,ThisManuscript,NA
Anoplognathus aeneus,neus02,ANIC000105,-18.98332977,146.1499939,ThisManuscript,NA
Anoplognathus olivieri,oliv01,ANIC005962,-30.38333333,153.0333333,ThisManuscript,NA
Anoplognathus olivieri,oliv02,ANIC005963,-30.38333333,153.0333333,ThisManuscript,NA
Anoplostethus opalinus,opal01,NA,-31.896008,116.001395,ThisManuscript,NA
Anoplostethus opalinus,opal02,NA,-31.953461,115.838221,ThisManuscript,NA
Anoplostethus opalinus,opal03,NA,-31.75,116.09,PrettyCoolBeetles,opal1
Anoplognathus pallidicollis,pali01,ANIC008588,-35.3,149.1333333,ThisManuscript,NA
Anoplognathus pallidicollis,pali02,ANIC008590,-35.26667023,149.1000061,ThisManuscript,NA
Anoplognathus pallidicollis,pali03,ANIC008525,-31.51667,146.1,ThisManuscript,NA
Anoplognathus pallidicollis,pali04,ANIC008529,-34.58333206,142.7666626,ThisManuscript,NA
Anoplognathus pallidicollis,pali05,ANIC008530,-34.58333206,142.7666626,ThisManuscript,NA
Anoplognathus pallidicollis,pali06,ANIC008532,-24.86667061,152.3500061,ThisManuscript,NA
Anoplognathus pallidicollis,pali07,ANIC008533,-27.31666667,153,ThisManuscript,NA
Anoplognathus pallidicollis,pali08,ANIC006061,-35.26667023,149.1000061,PrettyCoolBeetles,pali1
Anoplognathus pallidicollis,pali09,ANIC006062,-35.273,149.098,PrettyCoolBeetles,pali2
Paraschizognathus ocularis,pczo01,NA,-30.360885,152.733813,ThisManuscript,NA
Paraschizognathus ocularis,pczo02,NA,-30.47841,152.660613,ThisManuscript,NA
Paraschizognathus ocularis,pczo03,NA,-30.47841,152.660613,ThisManuscript,NA
Paraschizognathus ocularis,pczo05,NA,-29.28,152.21,PrettyCoolBeetles,ocul2
Paraschizognathus prasinus,pczp01,NA,-33.28,150.13,ThisManuscript,NA
Paraschizognathus prasinus,pczp02,NA,-33.3,150.23,ThisManuscript,NA
Paraschizognathus prasinus,pczp03,NA,-34.4,150.04,ThisManuscript,NA
Paraschizognathus prasinus,pczp04,NA,-34.4,150.04,ThisManuscript,NA
Paraschizognathus prasinus,pczp05,NA,-33.837,150.413,PrettyCoolBeetles,ppsi1
Paraschizognathus prasinus,pczp06,NA,-33.421,150.309,PrettyCoolBeetles,ppsi2
Paraschizognathus olivaceous,pczv01,NA,-30.4385,153.0441,ThisManuscript,NA
Paraschizognathus olivaceous,pczv02,NA,-30.23,153.02,ThisManuscript,NA
Paraschizognathus olivaceous,pczv03,NA,-30.279,152.9907,ThisManuscript,NA
Paraschizognathus olivaceous,pczv04,NA,-31.743,152.563,PrettyCoolBeetles,oliv1
Paraschizognathus olivaceous,pczv05,NA,-30.23,153.02,PrettyCoolBeetles,oliv2
