species,patch_ID,ID,R,G,B,type,camera_cat,col_percent,location
Actenodes_calcaratus,Actenodes_calcaratus_1,Actenodes_calcaratus_1,75.213,82.22,61.698,VIS,medium,1,RoI
Actenodes_calcaratus,Actenodes_calcaratus_1,Actenodes_calcaratus_1,40.698,20.15,36.462,NIR,medium,1,RoI
Actenodes_calcaratus,Actenodes_calcaratus_1,Actenodes_calcaratus_1,22.966,0,175.519,UV,medium,1,grey
Actenodes_calcaratus,Actenodes_calcaratus_1,Actenodes_calcaratus_1,165.963,185.443,181.656,VIS,medium,1,grey
Actenodes_calcaratus,Actenodes_calcaratus_1,Actenodes_calcaratus_1,90.149,51.029,82.485,NIR,medium,1,grey
Agrilus_hypoleucus,Agrilus_hypoleucus_1,Agrilus_hypoleucus_1,0.012,0,34.485,UV,small,1,RoI
Agrilus_hypoleucus,Agrilus_hypoleucus_2,Agrilus_hypoleucus_2,0.013,0,39.419,UV,small,1,RoI
Agrilus_hypoleucus,Agrilus_hypoleucus_3,Agrilus_hypoleucus_3,0.016,0,37.854,UV,small,1,RoI
Agrilus_hypoleucus,Agrilus_hypoleucus_1,Agrilus_hypoleucus_1,49.82,43.413,25.439,VIS,small,1,RoI
Agrilus_hypoleucus,Agrilus_hypoleucus_2,Agrilus_hypoleucus_2,41.171,32.684,22.673,VIS,small,1,RoI
Agrilus_hypoleucus,Agrilus_hypoleucus_3,Agrilus_hypoleucus_3,30.729,23.545,16.022,VIS,small,1,RoI
Agrilus_hypoleucus,Agrilus_hypoleucus_1,Agrilus_hypoleucus_1,113.259,61.988,95.099,NIR,small,1,RoI
Agrilus_hypoleucus,Agrilus_hypoleucus_2,Agrilus_hypoleucus_2,89.485,48.095,78.635,NIR,small,1,RoI
Agrilus_hypoleucus,Agrilus_hypoleucus_3,Agrilus_hypoleucus_3,105.875,59.771,93.842,NIR,small,1,RoI
Agrilus_hypoleucus,Agrilus_hypoleucus_1,Agrilus_hypoleucus_1,2.879,0,154.336,UV,small,1,grey
