"","ind","R_ALL","R_VIS","R_NIR","Res","size","phylogeny_name","PC1","PC2","spp","ElytrPol"
"26","ecry03",30.0244755377235,23.3695663015002,35.8027237263523,-14.4393105587582,2.357,"Epichrysus_lamprimoides",0.654527712592284,1.34030218570309,"ecry",0.22546473268492
"27","fchi01",16.5829501874221,8.65694780983297,23.4808652159355,-12.2886556085698,1.666,"Calloodes_frenchii",-2.97200219524744,-1.08641261087901,"fchi",0.36712887980481
"28","fchi02",19.3137820616502,11.2464976792286,26.3167774478733,-12.0000326550811,2.246,"Calloodes_frenchii",-2.97200219524744,-1.08641261087901,"fchi",0.471867427159769
"29","gray01",23.6633459411563,14.495982930784,31.6343524716264,-9.87891236641196,2.808,"Calloodes_grayanus",-1.69866264426853,-4.09222460121498,"gray",0.136116558952885
"30","gray02",32.3619820630911,20.6485235709127,42.5559584982742,-5.00943956687228,2.802,"Calloodes_grayanus",0.132954654135603,-6.763395945159,"gray",0.167110936301916
"31","gray03",24.0265558987746,9.92503019128132,36.3028679364231,-0.71404058763149,2.472,"Calloodes_grayanus",-0.589411687061056,-5.45137412133513,"gray",0.127179852783728
"32","hirs01",23.2374143141394,8.94074091345111,35.6949574586522,-0.353725060589313,2.291,"Anoplognathus_hirsutus",1.80204617623241,0.675996893468676,"hirs",-0.0507636520353787
"33","hirs02",25.6774499056466,12.069715773144,37.5412462263504,-1.58534732554975,2.554,"Anoplognathus_hirsutus",1.67345613558522,0.922305596580637,"hirs",-0.0969720333781756
"34","hirs03",19.6774944742135,9.55103576801974,28.5029179093942,-8.14609965575942,2.113,"Anoplognathus_hirsutus",0.72067193240746,1.21325246837131,"hirs",-0.11274761185488
"35","hirs04",21.0494241077679,6.82647278165425,33.4355893639728,-0.533329174839986,2.51,"Anoplognathus_hirsutus",1.02944223479723,0.933357864265931,"hirs",-0.0634865392253849
"36","hirs05",32.9436156362063,15.7451404766876,47.9250370457478,5.18300049669509,2.356,"Anoplognathus_hirsutus",1.02944223479723,0.933357864265931,"hirs",-0.0387883940199322
"37","hirs06",22.9799825518674,8.51720742827524,35.578377099686,-0.0536838597225793,2.378,"Anoplognathus_hirsutus",1.02944223479723,0.933357864265931,"hirs",-0.0754976157265595
