"","ind","Species","PC1","PC2","phylogeny_name","size","R_ALL","R_VIS","R_NIR","T_ALL","T_VIS","T_NIR","A_ALL","A_VIS","A_NIR"
"11","ecry05","ecry05",0.866417478430374,1.46386448097411,"Epichrysus_lamprimoides",2.204,26.7669697995408,14.5682509206888,37.4087457487638,24.5767271078366,9.73612993492151,37.5005776472263,48.6563030926226,75.6956191443897,25.0906766040099
"12","fchi03","fchi03",-2.88287561193416,-1.10207314634876,"Calloodes_frenchii",1.956,16.9951529635525,9.41472347371175,23.575412174221,2.92233268177535,0.0527477297204075,5.41597464325915,80.0825143546722,90.5325287965678,71.0086131825199
"13","fchi04","fchi04",-2.88287561193416,-1.10207314634876,"Calloodes_frenchii",1.956,18.6279258765189,9.10439010041969,26.8971721968072,5.54420964875424,0.459851053539031,9.96714576301363,75.8278644747268,90.4357588460413,63.1356820401792
"14","gray04","gray04",-0.0954214118931839,-1.93564852903302,"Calloodes_grayanus",2.694,29.4077612216706,13.5780931019089,43.1907295060392,5.33637844398834,1.51164430137259,8.66771847590388,65.2558603343411,84.9102625967185,48.141552018057
"15","gray05","gray05",1.30576668950821,-7.77108839618159,"Calloodes_grayanus",2.694,22.6043104468028,8.43018522863734,34.9430251389917,6.68944974493687,2.03842940276759,10.7414082478059,70.7062398082603,89.5313853685951,54.3155666132024
"16","hirs15","hirs15",0.347764823125241,1.94606842485319,"Anoplognathus_hirsutus",2.321428571,19.3360216857244,7.29774278413619,29.8202490252367,23.4184839678723,12.3852124928747,33.0455115135988,57.2454943464033,80.3170447229891,37.1342394611645
"17","hirs16","hirs16",1.67345613558522,0.922305596580637,"Anoplognathus_hirsutus",2.321428571,25.4232685514485,10.1675944121469,38.7193754142004,19.5900644809631,11.1546424610204,26.9500872291195,54.9866669675884,78.6777631268326,34.3305373566801
"18","lats04","lats04",-0.889098409048643,-1.16236153771344,"Anoplostethus_laetus",2.971,35.2281063123578,19.4201566187537,49.008422914728,11.9813240598304,4.0137722905201,18.921869210439,52.7905696278118,76.5660710907262,32.069707874833
"19","lats05","lats05",-2.37641615003766,0.935947052469816,"Anoplostethus_laetus",2.971,38.8273057864976,26.8497564188946,49.3040419041306,10.4912756933883,3.94374595631074,16.1913883099295,50.6814185201141,69.2064976247947,34.5045697859399
"20","macl06","macl06",2.35367475538465,-4.28329356818847,"Anoplognathus_macleayi",2.97,43.7852035827963,24.8035230153792,60.344465903132,5.07175783678851,2.84674499632187,7.01133910960255,51.1430385804152,72.3497319882989,32.6441949872655
"21","macl07","macl07",2.58744417395607,-3.60295890992237,"Anoplognathus_macleayi",2.97,34.5463901932112,15.6389366751512,51.0291896242877,6.85587285059988,3.51971256229967,9.76418340118297,58.5977369561889,80.8413507625491,39.2066269745293
"22","mcla03","mcla03",1.88430709522534,-3.44988021633439,"Anoplognathus_macleayi",3.1365,40.7096423742358,23.1270535679253,56.0483284831862,5.25506678051382,2.3554604504473,7.78146301279911,54.0352908452504,74.5174859816274,36.1702085040147
"23","narm04","narm04",2.39139711707045,-1.18716849840533,"Anoplognathus_narmarus",2.513333333,29.64515257112,12.9688341030697,44.1896516447608,6.42200570669947,3.30866874371324,9.13571692274443,63.9328417221806,83.722497153217,46.6746314324948
"24","narm05","narm05",2.39139711707045,-1.18716849840533,"Anoplognathus_narmarus",2.513333333,22.0249658819931,8.39880171520962,33.9069385217922,7.59073491836374,3.67080061475843,11.0091226329965,70.3842991996432,87.930397670032,55.0839388452113
"25","opal03","opal03",1.02554535235436,-0.75040578873779,"Anoplostethus_opalinus",2.588,23.2642188735478,13.8722504301302,31.4448440826716,20.8280670041073,8.56104742490009,31.5230675450518,55.9077141223449,77.5667021449697,37.0320883722766
"26","pali08","pali08",1.79097709125102,0.570071565129162,"Anoplognathus_pallidicollis",2.019428571,35.9895773117649,18.2557599969102,51.4611009619341,7.22787340466829,3.2692769740585,10.6758846261834,56.7825492835668,78.4749630290313,37.8630144118825
"27","pali09","pali09",1.69812937380718,0.657055690771197,"Anoplognathus_pallidicollis",2.019428571,24.5075558811799,7.89077588186215,38.9901622304484,9.86316268230096,5.08531517919937,14.028902167467,65.6292814365192,87.0239089389385,46.9809356020846
