"","ind","R_ALL","R_VIS","R_NIR","Res","size","phylogeny_name","PC1","PC2","phylogeny_name.1"
"36","clor04",22.6586741079167,9.56100617930049,34.0783778105861,-2.58044745205859,2.304,"Anoplognathus_brunnipennis",1.84295997897327,0.533275391796061,"Anoplognathus_brunnipennis"
"37","clor06",35.7320236427061,19.989473126381,49.450784504218,2.53368139996546,2.507,"Anoplognathus_brunnipennis",0.982721990692992,0.135019208052988,"Anoplognathus_brunnipennis"
"38","clor07",26.4068402568868,11.7324675563895,39.1896242826315,0.394775168970407,2.261,"Anoplognathus_brunnipennis",0.982721990692992,0.135019208052988,"Anoplognathus_brunnipennis"
"39","clor08",22.7903725321356,10.1640388862983,33.7887227557443,-3.46329392107009,2.537,"Anoplognathus_brunnipennis",0.982721990692992,0.135019208052988,"Anoplognathus_brunnipennis"
"40","clor09",23.9190179965196,10.7642905392277,35.3726292382608,-2.46984318453047,2.472,"Anoplognathus_brunnipennis",0.982721990692992,0.135019208052988,"Anoplognathus_brunnipennis"
"41","clor10",25.2245628006419,9.87842505926326,38.5918997153312,1.62083574307041,2.601,"Anoplognathus_brunnipennis",0.982721990692992,0.135019208052988,"Anoplognathus_brunnipennis"
"42","clor11",31.4119663369685,15.5152596929664,45.2797854745808,2.76387813146264,2.463,"Anoplognathus_brunnipennis",1.57334849558463,1.08793158178669,"Anoplognathus_brunnipennis"
"43","clor12",30.2287289630136,15.3693352678431,43.1907992450386,0.818434889052487,2.312,"Anoplognathus_brunnipennis",1.57334849558463,1.08793158178669,"Anoplognathus_brunnipennis"
"44","clor13",23.8694731670301,11.3390932660275,34.7995392778361,-3.60835528279652,2.487,"Anoplognathus_brunnipennis",1.57334849558463,1.08793158178669,"Anoplognathus_brunnipennis"
"45","clor14",29.6387576832832,16.2890950415711,41.2788168805027,-1.99829707619798,2.672,"Anoplognathus_brunnipennis",0.982721990692992,0.135019208052988,"Anoplognathus_brunnipennis"
"46","clor15",21.0869695045137,10.578526579719,30.2303206173907,-7.42941945180845,2.521,"Anoplognathus_brunnipennis",0.948964212672186,0.159918004968111,"Anoplognathus_brunnipennis"
"47","clor16",16.7436667649972,5.35010723305817,26.660685247839,-5.85596153615791,2.394,"Anoplognathus_brunnipennis",0.948964212672186,0.159918004968111,"Anoplognathus_brunnipennis"
"48","clor17",27.5167534464762,16.9225168526013,36.7494699247696,-7.15072861008193,2.330666667,"Anoplognathus_brunnipennis",1.24940527776458,0.627431101129911,"Anoplognathus_brunnipennis"
"49","conc01",41.2367745666999,18.9959796062618,60.6352554299256,14.6954323626082,2.294,"Anoplognathus_concolor",0.313178865758963,1.76554260954081,"Anoplognathus_concolor"
"50","conc02",33.1664602156614,16.766640583672,47.4794384064602,3.73257229177215,2.257,"Anoplognathus_concolor",0.313178865758963,1.76554260954081,"Anoplognathus_concolor"
"51","conc03",35.663428700137,20.6055767703622,48.8085330676849,1.28538092561525,2.102,"Anoplognathus_concolor",0.313178865758963,1.76554260954081,"Anoplognathus_concolor"
"52","conc04",25.6571690639668,11.8780871135905,37.6771252893118,-1.26096691890193,2.25,"Anoplognathus_concolor",-0.663770598292666,0.941213374612713,"Anoplognathus_concolor"
"53","conc05",24.4054392132016,9.15971062388013,37.6945926662223,1.43051394925821,2.175,"Anoplognathus_concolor",-1.41249337171093,0.923786652469828,"Anoplognathus_concolor"
"54","conc06",33.8394251270566,15.5576123190193,49.7901905928395,7.23262180441243,2.175,"Anoplognathus_concolor",0.242123982837677,1.40584891852874,"Anoplognathus_concolor"
"55","ecry01",24.9284978018214,20.5570485430271,28.7166540460265,-18.758761833207,1.899,"Epichrysus_lamprimoides",0.654527712592284,1.34030218570309,"Epichrysus_lamprimoides"
"56","ecry02",26.8479522973575,21.3295042038311,31.6384164746898,-16.5968488463707,2.356,"Epichrysus_lamprimoides",0.654527712592284,1.34030218570309,"Epichrysus_lamprimoides"
"57","ecry03",30.0244755377235,23.3695663015002,35.8027237263523,-14.4393105587582,2.357,"Epichrysus_lamprimoides",0.654527712592284,1.34030218570309,"Epichrysus_lamprimoides"
"58","ecry04",23.9026280260565,16.4358122427304,30.3813526676559,-13.0400841143721,2.204,"Epichrysus_lamprimoides",0.866417478430374,1.46386448097411,"Epichrysus_lamprimoides"
"59","ecry05",26.7669697995408,14.5682509206888,37.4087457487638,-4.17560768966622,2.204,"Epichrysus_lamprimoides",0.866417478430374,1.46386448097411,"Epichrysus_lamprimoides"
"60","fchi01",16.5829501874221,8.65694780983297,23.4808652159355,-12.2886556085698,1.666,"Calloodes_frenchii",-2.97200219524744,-1.08641261087901,"Calloodes_frenchii"
"61","fchi02",19.3137820616502,11.2464976792286,26.3167774478733,-12.0000326550811,2.246,"Calloodes_frenchii",-2.97200219524744,-1.08641261087901,"Calloodes_frenchii"
"62","fchi03",16.9951529635525,9.41472347371175,23.575412174221,-12.939517667844,1.956,"Calloodes_frenchii",-2.88287561193416,-1.10207314634876,"Calloodes_frenchii"
"63","fchi04",18.6279258765189,9.10439010041969,26.8971721968072,-9.31248880920479,1.956,"Calloodes_frenchii",-2.88287561193416,-1.10207314634876,"Calloodes_frenchii"
"64","gray01",23.6633459411563,14.495982930784,31.6343524716264,-9.87891236641196,2.808,"Calloodes_grayanus",-1.69866264426853,-4.09222460121498,"Calloodes_grayanus"
"65","gray02",32.3619820630911,20.6485235709127,42.5559584982742,-5.00943956687228,2.802,"Calloodes_grayanus",0.132954654135603,-6.763395945159,"Calloodes_grayanus"
"66","gray03",24.0265558987746,9.92503019128132,36.3028679364231,-0.71404058763149,2.472,"Calloodes_grayanus",-0.589411687061056,-5.45137412133513,"Calloodes_grayanus"
"67","gray04",29.4077612216706,13.5780931019089,43.1907295060392,2.58037484073926,2.694,"Calloodes_grayanus",-0.0954214118931839,-1.93564852903302,"Calloodes_grayanus"
"68","gray05",22.6043104468028,8.43018522863734,34.9430251389917,-0.603433794078488,2.694,"Calloodes_grayanus",1.30576668950821,-7.77108839618159,"Calloodes_grayanus"
"69","hirs01",23.2374143141394,8.94074091345111,35.6949574586522,-0.353725060589313,2.291,"Anoplognathus_hirsutus",1.80204617623241,0.675996893468676,"Anoplognathus_hirsutus"
"70","hirs02",25.6774499056466,12.069715773144,37.5412462263504,-1.58534732554975,2.554,"Anoplognathus_hirsutus",1.67345613558522,0.922305596580637,"Anoplognathus_hirsutus"
"71","hirs03",19.6774944742135,9.55103576801974,28.5029179093942,-8.14609965575942,2.113,"Anoplognathus_hirsutus",0.72067193240746,1.21325246837131,"Anoplognathus_hirsutus"
"72","hirs04",21.0494241077679,6.82647278165425,33.4355893639728,-0.533329174839986,2.51,"Anoplognathus_hirsutus",1.02944223479723,0.933357864265931,"Anoplognathus_hirsutus"
"73","hirs05",32.9436156362063,15.7451404766876,47.9250370457478,5.18300049669509,2.356,"Anoplognathus_hirsutus",1.02944223479723,0.933357864265931,"Anoplognathus_hirsutus"
"74","hirs06",22.9799825518674,8.51720742827524,35.578377099686,-0.0536838597225793,2.378,"Anoplognathus_hirsutus",1.02944223479723,0.933357864265931,"Anoplognathus_hirsutus"
"75","hirs07",29.95640668766,15.9477224563144,42.1560979758738,-0.785214482405173,2.487,"Anoplognathus_hirsutus",0.944843555915989,0.165980980399323,"Anoplognathus_hirsutus"
"76","hirs08",21.0338597719558,8.31742723187508,32.1093763771118,-3.32616473212864,2.407,"Anoplognathus_hirsutus",0.944843555915989,0.165980980399323,"Anoplognathus_hirsutus"
"77","hirs09",23.2577104139398,7.57451665046223,36.9161611693776,2.21140658842325,2.428,"Anoplognathus_hirsutus",1.31005632745989,0.559563665842675,"Anoplognathus_hirsutus"
"78","hirs10",25.519561234474,8.55547024835401,40.2992876217186,4.6295882787045,2.28,"Anoplognathus_hirsutus",1.02944223479723,0.933357864265931,"Anoplognathus_hirsutus"
"79","hirs11",23.6274587238456,10.3889621118189,35.1643313985111,-2.30893783173509,2.478,"Anoplognathus_hirsutus",1.1582260198883,1.47288364413146,"Anoplognathus_hirsutus"
"80","hirs12",31.0338744188106,16.5543809283542,43.6614658950714,0.123395428858118,2.299,"Anoplognathus_hirsutus",1.1582260198883,1.47288364413146,"Anoplognathus_hirsutus"
"81","hirs13",25.4455015364049,15.7344786747547,33.9092656564248,-8.8222830877497,2.252,"Anoplognathus_hirsutus",1.1582260198883,1.47288364413146,"Anoplognathus_hirsutus"
"82","hirs14",21.2432244253592,10.6452633660807,30.4819563758732,-7.24343135757315,2.27,"Anoplognathus_hirsutus",0.923771162833308,2.14912736105463,"Anoplognathus_hirsutus"
"83","hirs15",19.3360216857244,7.29774278413619,29.8202490252367,-4.61224854666001,2.321428571,"Anoplognathus_hirsutus",0.347764823125241,1.94606842485319,"Anoplognathus_hirsutus"
"84","hirs16",25.4232685514485,10.1675944121469,38.7193754142004,1.46386123653439,2.321428571,"Anoplognathus_hirsutus",1.67345613558522,0.922305596580637,"Anoplognathus_hirsutus"
"85","lats01",34.2136140624894,20.4171049499318,46.241220679075,-1.09653543986878,2.844,"Anoplostethus_laetus",-0.880815315384265,-0.382068528384549,"Anoplostethus_laetus"
"86","lats02",35.4503138822677,19.2410782330383,49.5885680237878,3.40764625760811,3.094,"Anoplostethus_laetus",-0.889098409048643,-1.16236153771344,"Anoplostethus_laetus"
"87","lats03",39.8081024936478,19.3200116227925,57.6514519427047,11.3928849533885,2.975,"Anoplostethus_laetus",-3.87971342513118,0.928038951063704,"Anoplostethus_laetus"
"88","lats04",35.2281063123578,19.4201566187537,49.008422914728,2.65134526241301,2.971,"Anoplostethus_laetus",-0.889098409048643,-1.16236153771344,"Anoplostethus_laetus"
"89","lats05",38.8273057864976,26.8497564188946,49.3040419041306,-4.36138695537079,2.971,"Anoplostethus_laetus",-2.37641615003766,0.935947052469816,"Anoplostethus_laetus"
"90","macl01",37.7953439020353,21.6739175954676,51.8673046459126,3.29324664499739,3.216,"Anoplognathus_macleayi",2.58994553631669,-3.70750409765256,"Anoplognathus_macleayi"
"91","macl02",45.1645690627272,28.8184339726782,59.4285708198314,3.82659256819693,3.23,"Anoplognathus_macleayi",2.77047667801174,-4.39689284161909,"Anoplognathus_macleayi"
