"","ind","ElytrPol","PronotPol","Difference"
"49","macl03",-0.01615313916249,-0.0356307931614253,0.0194776539989353
"50","macl04",-0.0359342193111539,-0.0159068289644151,-0.0200273903467388
"51","mcla01",0.0462251111907705,0.071535254598083,-0.0253101434073126
"52","meli01",-0.0359433967635343,-0.118279725043872,0.0823363282803373
"53","meli02",-0.0378472394460835,0.144743669748442,-0.182590909194526
"54","meli03",-0.0285438337482686,0.115134888880205,-0.143678722628474
"55","mima01",-0.0796030324136999,-0.110782490611959,0.031179458198259
"56","mima02",-0.121328720706567,-0.170859255931595,0.0495305352250283
"57","mont01",-0.0573923678760703,-0.00490246170453244,-0.0524899061715378
"58","mont02",-0.0208786533555483,0.00511308085258897,-0.0259917342081372
"59","mont03",0.0797748570558435,-0.00178782905855509,0.0815626861143986
"60","mont04",-0.049851703472968,-0.0164548967224103,-0.0333968067505577
"61","mont05",0.00460179251921953,-0.0498414444268641,0.0544432369460836
"62","mont06",-0.00468329518032909,-0.0315485694660192,0.0268652742856901
"63","mult01",0.195387526815381,0.169706540021368,0.025680986794013
"64","mult02",0.149575534767596,0.16995521117187,-0.0203796764042743
"65","mult03",0.181516961258052,0.175002274650336,0.00651468660771612
"66","narm01",-0.0429745657248304,-0.0337668151541435,-0.00920775057068693
"67","narm02",-0.0228134874885685,-0.0307894423567912,0.00797595486822269
"68","narm03",0.000227187509308693,-0.0392048897703622,0.0394320772796709
"69","neba01",0.0511850491644516,0.0650928077739865,-0.0139077586095349
"70","neba02",0.0145097646925637,0.0686449536895672,-0.0541351889970035
"71","nebn01",0.0623267741018199,0.0768545090332919,-0.014527734931472
"72","nebn02",0.0618943679418459,0.0811043454047801,-0.0192099774629342
"73","nebn03",0.115490225892367,0.0876095648246187,0.0278806610677487
"74","neus01",0.0177647821872123,0.138987720530758,-0.121222938343546
"75","neus02",0.206320392542411,0.227310508967927,-0.0209901164255157
"76","oliv01",0.0244062529412271,0.121368884550732,-0.0969626316095049
"77","oliv02",0.0337992492493594,0.123200428437862,-0.0894011791885023
"78","oliv03",-0.063321905410936,0.0797358593457237,-0.14305776475666
"79","opal01",0.246869374514607,0.477954774768871,-0.231085400254264
"80","opal02",0.406319530377241,0.313428481349837,0.0928910490274042
"81","pali01",-0.0170171856243765,0.00930654304396966,-0.0263237286683462
"82","pali02",-0.0168227448057405,-0.0165654952197106,-0.000257249586029941
"83","pali03",0.0146109431292169,0.00588115954791417,0.00872978358130274
"84","pali04",-0.0175161999228655,0.00868573595712428,-0.0262019358799898
"85","pali05",-0.0200279929931894,0.0148330454356183,-0.0348610384288077
"86","pali06",-0.0119939248641689,-0.00605320584058121,-0.00594071902358772
"87","pali07",-0.0139763868259355,0.0196187607156807,-0.0335951475416163
"88","pczo01",0.016431565283182,0.0228378775262415,-0.00640631224305946
"89","pczo02",0.0224713365707396,0.027589093665785,-0.00511775709504541
"90","pczo03",0.0224209375925743,0.026868233969453,-0.00444729637687873
"91","pczp02",-0.0424090525646387,-0.0497550732934494,0.00734602072881068
"92","pczp03",-0.0805040386264603,-0.0719882567233763,-0.00851578190308393
"93","pczp04",-0.0653121292993393,-0.0642291413353115,-0.00108298796402775
"94","pczv01",-0.0682624474091479,-0.0610624201453947,-0.00720002726375323
"95","pczv02",-0.0792202346503918,-0.0691976435196888,-0.0100225911307029
"96","pczv03",-0.0720482183205573,-0.0581862294202735,-0.0138619889002838
"97","pind01",-0.00826455962341172,0.052051723833542,-0.0603162834569537
"98","pind02",-0.00486638892447526,0.0618920302195423,-0.0667584191440175
"99","pind04",0.0151925723739066,0.033887282729149,-0.0186947103552423
"100","pind05",0.0324894102573182,0.066850279112612,-0.0343608688552939
"101","pind06",0.0138725483104726,0.0607124895219574,-0.0468399412114848
