"","wl","anom03","anom02","atki03","atki04","aurs03","aurs04","clor17","conc05","conc06","ecry04","ecry05","fchi03","fchi04","gray04","gray05","hirs15","hirs16","lats04","lats05","mcla03","macl06","macl07","narm04","narm05","pczo05","pczv04","pczv05","opal03","pali08","pali09","poro16","poro17","pczp05","pczp06","prsi04","prsi05","prsi06","pvul05","pvul06","rayn04","rayn05","repa03","reps03","smgg03","smgg04","tars05","tars06","xyle07","xyle08","xyle09","Sun"
"1272",1671,67.395595235,20.515595235,47.78952381,18.91261905,44.30142857,47.00892857,49.98369048,47.80202381,46.04547619,49.234285715,48.49488095,11.324761905,15.68238095,14.98488095,17.19095238,37.76761905,31.530357145,31.943095235,26.817142855,12.862738095,9.364880952,13.55880952,12.62404762,13.047857145,38.57619048,45.91107143,30.649404765,38.847738095,18.768333335,18.170595235,32.317738095,10.21119048,33.318095235,32.65297619,3.162142857,3.0939285715,3.3436904765,50.0425,69.197142855,41.48892857,45.40142857,23.98,32.61154762,36.22595238,16.07011905,28.51952381,25.99761905,43.313095235,16.97547619,23.478333335,0.213445
"1273",1672,67.28285714,20.43285714,47.64571429,18.81857143,44.13285714,46.82285714,49.87571429,47.76571429,45.98428571,49.12857143,48.39142857,11.24285714,15.61142857,14.92142857,17.12857143,37.75857143,31.51571429,31.77285714,26.68428571,12.81714286,9.351428571,13.53428571,12.60142857,13.03571429,38.53571429,45.87714286,30.56714286,38.80714286,18.68,18.12285714,32.27714286,10.17571429,33.21285714,32.63428571,3.154285714,3.092857143,3.335714286,49.91,69.05428571,41.38285714,45.30285714,23.86,32.45142857,36.17857143,16.01857143,28.43571429,25.90857143,43.24285714,16.88428571,23.33,0.21542
"1274",1673,67.20642857,20.37642857,47.546428575,18.755714285,44.02142857,46.69785714,49.802857145,47.741428575,45.942142855,49.06,48.32357143,11.18642857,15.56357143,14.87785714,17.085,37.74857143,31.50071429,31.66,26.595,12.785714285,9.341428571,13.51642857,12.584285715,13.02714286,38.511428575,45.857857145,30.51357143,38.780714285,18.62142857,18.09285714,32.250714285,10.151428575,33.140714285,32.622142855,3.149285714,3.0914285715,3.330714286,49.822142855,68.963571425,41.31142857,45.23285714,23.782857145,32.35,36.14642857,15.984285715,28.379285715,25.847857145,43.193571425,16.82,23.227142855,0.21496
"1275",1674,67.13,20.32,47.44714286,18.69285714,43.91,46.57285714,49.73,47.71714286,45.9,48.99142857,48.25571429,11.13,15.51571429,14.83428571,17.04142857,37.73857143,31.48571429,31.54714286,26.50571429,12.75428571,9.331428571,13.49857143,12.56714286,13.01857143,38.48714286,45.83857143,30.46,38.75428571,18.56285714,18.06285714,32.22428571,10.12714286,33.06857143,32.61,3.144285714,3.09,3.325714286,49.73428571,68.87285714,41.24,45.16285714,23.70571429,32.24857143,36.11428571,15.95,28.32285714,25.78714286,43.14428571,16.75571429,23.12428571,0.2145
"1276",1675,67.019166665,20.235833335,47.295238095,18.595595235,43.741666665,46.384761905,49.615833335,47.681904765,45.839166665,48.888214285,48.152857145,11.045833335,15.442857145,14.767142855,16.973214285,37.716785715,31.455357145,31.374404765,26.36702381,12.707142855,9.314047619,13.46595238,12.537738095,13.006785715,38.447738095,45.821785715,30.3675,38.71797619,18.47142857,18.015595235,32.182142855,10.089404765,32.959285715,32.591666665,3.1363095235,3.0875,3.317857143,49.60047619,68.734761905,41.1275,45.05392857,23.58369048,32.09095238,36.067142855,15.895833335,28.235595235,25.69357143,43.07297619,16.655357145,22.962142855,0.213285
"1277",1676,66.90833333,20.15166667,47.14333333,18.49833333,43.57333333,46.19666667,49.50166667,47.64666667,45.77833333,48.785,48.05,10.96166667,15.37,14.7,16.905,37.695,31.425,31.20166667,26.22833333,12.66,9.296666667,13.43333333,12.50833333,12.995,38.40833333,45.805,30.275,38.68166667,18.38,17.96833333,32.14,10.05166667,32.85,32.57333333,3.128333333,3.085,3.31,49.46666667,68.59666667,41.015,44.945,23.46166667,31.93333333,36.02,15.84166667,28.14833333,25.6,43.00166667,16.555,22.8,0.21207
"1278",1677,66.83583333,20.095833335,47.045,18.434166665,43.46083333,46.06416667,49.423333335,47.630833335,45.746666665,48.716666665,47.978333335,10.90416667,15.323333335,14.654166665,16.858333335,37.676666665,31.400833335,31.085833335,26.129166665,12.628333335,9.2833333335,13.40833333,12.486666665,12.988333335,38.385,45.810833335,30.216666665,38.65916667,18.3175,17.9375,32.113333335,10.0250000015,32.775,32.564166665,3.123333333,3.0825,3.305,49.37916667,68.51,40.938333335,44.870833335,23.37916667,31.83083333,35.994166665,15.8075,28.0875,25.535833335,42.95166667,16.485833335,22.683333335,0.210425
"1279",1678,66.76333333,20.04,46.94666667,18.37,43.34833333,45.93166667,49.345,47.615,45.715,48.64833333,47.90666667,10.84666667,15.27666667,14.60833333,16.81166667,37.65833333,31.37666667,30.97,26.03,12.59666667,9.27,13.38333333,12.465,12.98166667,38.36166667,45.81666667,30.15833333,38.63666667,18.255,17.90666667,32.08666667,9.998333333,32.7,32.555,3.118333333,3.08,3.3,49.29166667,68.42333333,40.86166667,44.79666667,23.29666667,31.72833333,35.96833333,15.77333333,28.02666667,25.47166667,42.90166667,16.41666667,22.56666667,0.20878
"1280",1679,66.653095235,19.952142855,46.79047619,18.270714285,43.16345238,45.71511905,49.223214285,47.59607143,45.67607143,48.550595235,47.80261905,10.75761905,15.204761905,14.535595235,16.737261905,37.620595235,31.33119048,30.79142857,25.87,12.54404762,9.2457142855,13.33880952,12.428214285,12.967261905,38.33011905,45.841904765,30.05130952,38.588333335,18.1575,17.859761905,32.053333335,9.9591666665,32.584285715,32.541785715,3.110595238,3.0742857145,3.2914285715,49.159404765,68.29095238,40.739404765,44.68119048,23.169761905,31.57130952,35.922738095,15.71738095,27.93119048,25.37297619,42.830833335,16.29904762,22.37404762,0.20754
"1281",1680,66.54285714,19.86428571,46.63428571,18.17142857,42.97857143,45.49857143,49.10142857,47.57714286,45.63714286,48.45285714,47.69857143,10.66857143,15.13285714,14.46285714,16.66285714,37.58285714,31.28571429,30.61285714,25.71,12.49142857,9.221428571,13.29428571,12.39142857,12.95285714,38.29857143,45.86714286,29.94428571,38.54,18.06,17.81285714,32.02,9.92,32.46857143,32.52857143,3.102857143,3.068571429,3.282857143,49.02714286,68.15857143,40.61714286,44.56571429,23.04285714,31.41428571,35.87714286,15.66142857,27.83571429,25.27428571,42.76,16.18142857,22.18142857,0.2063
"1282",1681,66.43642857,19.77547619,46.477142855,18.073214285,42.79261905,45.276785715,48.97988095,47.56107143,45.600238095,48.35642857,47.59595238,10.57761905,15.06142857,14.38892857,16.585595235,37.540595235,31.23452381,30.430595235,25.545833335,12.43654762,9.1957142855,13.24797619,12.353214285,12.935595235,38.26761905,45.891904765,29.83880952,38.485,17.9625,17.765595235,31.986666665,9.8783333335,32.34845238,32.51345238,3.094761905,3.0617857145,3.272261905,48.894404765,68.02261905,40.491904765,44.44619048,22.91642857,31.26130952,35.827738095,15.60404762,27.740357145,25.17130952,42.689166665,16.05654762,21.983214285,0.206285
"1283",1682,66.33,19.68666667,46.32,17.975,42.60666667,45.055,48.85833333,47.545,45.56333333,48.26,47.49333333,10.48666667,14.99,14.315,16.50833333,37.49833333,31.18333333,30.24833333,25.38166667,12.38166667,9.17,13.20166667,12.315,12.91833333,38.23666667,45.91666667,29.73333333,38.43,17.865,17.71833333,31.95333333,9.836666667,32.22833333,32.49833333,3.086666667,3.055,3.261666667,48.76166667,67.88666667,40.36666667,44.32666667,22.79,31.10833333,35.77833333,15.54666667,27.645,25.06833333,42.61833333,15.93166667,21.785,0.20627
"1284",1683,66.264166665,19.625833335,46.215,17.908333335,42.468333335,44.89,48.7725,47.5375,45.5425,48.195833335,47.424166665,10.425,14.94,14.260833335,16.454166665,37.4675,31.146666665,30.114166665,25.263333335,12.3425,9.1516666665,13.1675,12.288333335,12.90583333,38.213333335,45.94416667,29.654166665,38.385,17.793333335,17.6825,31.93083333,9.8075,32.141666665,32.485,3.08,3.0516666665,3.2533333335,48.67,67.78666667,40.27416667,44.2425,22.695833335,30.99333333,35.74,15.503333335,27.573333335,24.995,42.57583333,15.84,21.640833335,0.205865
"1285",1684,66.19833333,19.565,46.11,17.84166667,42.33,44.725,48.68666667,47.53,45.52166667,48.13166667,47.355,10.36333333,14.89,14.20666667,16.4,37.43666667,31.11,29.98,25.145,12.30333333,9.133333333,13.13333333,12.26166667,12.89333333,38.19,45.97166667,29.575,38.34,17.72166667,17.64666667,31.90833333,9.778333333,32.055,32.47166667,3.073333333,3.048333333,3.245,48.57833333,67.68666667,40.18166667,44.15833333,22.60166667,30.87833333,35.70166667,15.46,27.50166667,24.92166667,42.53333333,15.74833333,21.49666667,0.20546
"1286",1685,66.10702381,19.470357145,45.960714285,17.74511905,42.119285715,44.468214285,48.546904765,47.51857143,45.49011905,48.042261905,47.258214285,10.26952381,14.812142855,14.123333335,16.31857143,37.393333335,31.057142855,29.772857145,24.965357145,12.23952381,9.1066666665,13.08095238,12.220833335,12.873095235,38.16,45.984404765,29.44607143,38.267142855,17.609404765,17.591904765,31.879166665,9.7370238095,31.92607143,32.44297619,3.0638095235,3.043452381,3.2310714285,48.45345238,67.54619048,40.04511905,44.02488095,22.45869048,30.697738095,35.642261905,15.39357143,27.38797619,24.800833335,42.476666665,15.59845238,21.27119048,0.20615
"1287",1686,66.01571429,19.37571429,45.81142857,17.64857143,41.90857143,44.21142857,48.40714286,47.50714286,45.45857143,47.95285714,47.16142857,10.17571429,14.73428571,14.04,16.23714286,37.35,31.00428571,29.56571429,24.78571429,12.17571429,9.08,13.02857143,12.18,12.85285714,38.13,45.99714286,29.31714286,38.19428571,17.49714286,17.53714286,31.85,9.695714286,31.79714286,32.41428571,3.054285714,3.038571429,3.217142857,48.32857143,67.40571429,39.90857143,43.89142857,22.31571429,30.51714286,35.58285714,15.32714286,27.27428571,24.68,42.42,15.44857143,21.04571429,0.20684
"1288",1687,65.956428575,19.311428575,45.70785714,17.58357143,41.76357143,44.03857143,48.31357143,47.49714286,45.435,47.892142855,47.097142855,10.11214286,14.682142855,13.984285715,16.182857145,37.32142857,30.97,29.425,24.66357143,12.132857145,9.0614285715,12.99357143,12.15357143,12.84,38.110714285,46.005,29.230714285,38.14142857,17.421428575,17.500714285,31.830714285,9.6685714285,31.709285715,32.390714285,3.047142857,3.035714286,3.207857143,48.24714286,67.31357143,39.82,43.80357143,22.219285715,30.395,35.543571425,15.281428575,27.2,24.59642857,42.38642857,15.34357143,20.89071429,0.20614
"1289",1688,65.89714286,19.24714286,45.60428571,17.51857143,41.61857143,43.86571429,48.22,47.48714286,45.41142857,47.83142857,47.03285714,10.04857143,14.63,13.92857143,16.12857143,37.29285714,30.93571429,29.28428571,24.54142857,12.09,9.042857143,12.95857143,12.12714286,12.82714286,38.09142857,46.01285714,29.14428571,38.08857143,17.34571429,17.46428571,31.81142857,9.641428571,31.62142857,32.36714286,3.04,3.032857143,3.198571429,48.16571429,67.22142857,39.73142857,43.71571429,22.12285714,30.27285714,35.50428571,15.23571429,27.12571429,24.51285714,42.35285714,15.23857143,20.73571429,0.20544
"1290",1689,65.81357143,19.149404765,45.45130952,17.42511905,41.39845238,43.602857145,48.08,47.467738095,45.37238095,47.738214285,46.93142857,9.9526190485,14.5525,13.846785715,16.04761905,37.25142857,30.882857145,29.06547619,24.35404762,12.026666665,9.0164285715,12.90761905,12.087738095,12.806904765,38.063214285,46.008095235,29.01547619,38.01261905,17.23202381,17.41047619,31.77738095,9.599047619,31.48488095,32.32357143,3.0275,3.029761905,3.1842857145,48.04369048,67.07654762,39.59904762,43.58369048,21.975595235,30.085595235,35.44630952,15.16869048,27.01369048,24.379761905,42.303095235,15.076785715,20.500357145,0.20571
"1291",1690,65.73,19.05166667,45.29833333,17.33166667,41.17833333,43.34,47.94,47.44833333,45.33333333,47.645,46.83,9.856666667,14.475,13.765,15.96666667,37.21,30.83,28.84666667,24.16666667,11.96333333,8.99,12.85666667,12.04833333,12.78666667,38.035,46.00333333,28.88666667,37.93666667,17.11833333,17.35666667,31.74333333,9.556666667,31.34833333,32.28,3.015,3.026666667,3.17,47.92166667,66.93166667,39.46666667,43.45166667,21.82833333,29.89833333,35.38833333,15.10166667,26.90166667,24.24666667,42.25333333,14.915,20.265,0.20598
"1292",1691,65.642142855,18.94797619,45.13345238,17.24154762,40.939166665,43.065,47.810714285,47.41845238,45.28380952,47.54392857,46.719285715,9.7633333335,14.395357145,13.684642855,15.89047619,37.17642857,30.785714285,28.62261905,23.97119048,11.90095238,8.965,12.80904762,12.009166665,12.77047619,38.01107143,46.01595238,28.75047619,37.863333335,16.997738095,17.301904765,31.70452381,9.5154761905,31.20345238,32.23357143,2.999642857,3.024761905,3.155,47.805833335,66.78511905,39.34119048,43.327261905,21.680595235,29.704166665,35.34130952,15.04011905,26.78511905,24.10547619,42.210238095,14.745357145,20.01607143,0.206195
"1293",1692,65.55428571,18.84428571,44.96857143,17.15142857,40.7,42.79,47.68142857,47.38857143,45.23428571,47.44285714,46.60857143,9.67,14.31571429,13.60428571,15.81428571,37.14285714,30.74142857,28.39857143,23.77571429,11.83857143,8.94,12.76142857,11.97,12.75428571,37.98714286,46.02857143,28.61428571,37.79,16.87714286,17.24714286,31.66571429,9.474285714,31.05857143,32.18714286,2.984285714,3.022857143,3.14,47.69,66.63857143,39.21571429,43.20285714,21.53285714,29.51,35.29428571,14.97857143,26.66857143,23.96428571,42.16714286,14.57571429,19.76714286,0.20641
