spp,reg,Latitude,Longitude,ALA.month,picode,colection.month,batch,NameinHR,NameinTree,NPPMean,fractionalCoverBareSoil20120305,leafAreaIndexLAI20120305,fractionOfPhotosyntheticallyActiveRadiationFPAR,aridityIndexAnnualMean,growthIndexC3MacrothermPlantsAnnualMean,growthIndexC3MesothermPlantsAnnualMean,growthIndexC4MegathermPlantsAnnualMean
mima02,PicXB65088,-18.59,146.09,12,PicXB65088,1,original,NA,Mimadoretus_niveosquamosus,18,NA,1.6,51,1.0159976,0.54,0.47,0.45
mont01,ANIC005349,-27.93,152.93,1,PicXB64811,12,original,NA,Anoplognathus_montanus,6,0,3.1,78,0.5479193,0.27,0.45,0.21
mont02,ANIC005261,-35.58,147.37,1,PicXB64816,1,original,NA,Anoplognathus_montanus,4,0,0.7,42,0.8289608,0.06,0.25,0.04
mont03,ANIC005307,-34.6,148.57,1,PicXB64819,1,original,NA,Anoplognathus_montanus,4,17,0.6,34,0.7064767,0.06,0.24,0.04
mont04,ANIC005279,-34.55,148.3,1,PicXB64822,1,original,NA,Anoplognathus_montanus,4,1,1.4,56,0.6613864,0.07,0.24,0.05
mont05,ANIC005389,-34.57,138.85,1,PicXB64825,1,original,NA,Anoplognathus_montanus,4,39,0.4,26,0.49187583,0.04,0.22,0.03
mont06,ANIC005266,-36.38,146.28,1,PicXB64828,1,original,NA,Anoplognathus_montanus,4,4,0.8,38,0.76273894,0.07,0.27,0.05
mult01,ANIC005406,-26.03,153.05,10,PicXB54433,10,original,NA,Anoplognathus_multiseriatus,11,0,4.1,81,0.9979493,0.44,0.71,0.34
mult02,ANIC005409,-26.65,153.1,10,PicXB54437,12,original,NA,Anoplognathus_multiseriatus,NA,43,NA,NA,1.1075296,0.44,0.73,0.34
mult03,ANIC005407,-26.03,153.05,10,PicXB54441,10,original,NA,Anoplognathus_multiseriatus,11,0,4.1,81,0.9979493,0.44,0.71,0.34
narm01,ANIC005476,-31.13,138.57,1,PicXB64831,10,original,NA,Anoplognathus_narmarus,2,49,0.4,26,0.14923573,0.03,0.07,0.02
narm02,ANIC005478,-31.33,138.62,1,PicXB64834,11,original,NA,Anoplognathus_narmarus,3,53,0.4,27,0.16178705,0.03,0.08,0.02
narm03,ANIC005479,-31.33,138.6,1,PicXB64837,11,original,NA,Anoplognathus_narmarus,3,49,0.5,28,0.15196562,0.03,0.08,0.02
narm04,ANIC005462,-32.42,137.98,1,NA,1,HR,narm1,Anoplognathus_narmarus,4,18,0.5,30,0.26224807,0.03,0.12,0.02
narm05,ANIC005463,-32.42,137.98,1,NA,1,HR,narm2,Anoplognathus_narmarus,4,18,0.5,30,0.26224807,0.03,0.12,0.02
neba01,ANIC005623,-15.95,136.37,4,4427,4,original,NA,Anoplognathus_nebulosus     ,4,NA,1,41,0.34167156,0.31,0.09,0.3
neba02,ANIC005624,-15.95,136.37,4,4430,4,original,NA,Anoplognathus_nebulosus     ,4,NA,1,41,0.34167156,0.31,0.09,0.3
nebn01,ANIC005538,-15.1,145.25,4,PicXB54450,5,original,NA,Anoplognathus_nebulosus     ,NA,NA,1.6,52,0.8904678,0.5,0.36,0.43
nebn02,ANIC005535,-15.1,145.25,4,PicXB54453,5,original,NA,Anoplognathus_nebulosus     ,NA,NA,1.6,52,0.8904678,0.5,0.36,0.43
