Species_name,Code,ANIC Reference,Latitude,Longitude,batch,NameinHR
Anoplognathus aeneus,neus01,ANIC000073,-17.77,145.58,ThisManuscript,NA
Anoplognathus aeneus,neus02,ANIC000105,-18.98,146.15,ThisManuscript,NA
Anoplognathus olivieri,oliv01,ANIC005962,-30.38,153.03,ThisManuscript,NA
Anoplognathus olivieri,oliv02,ANIC005963,-30.38,153.03,ThisManuscript,NA
Anoplostethus opalinus,opal01,NA,-31.9,116,ThisManuscript,NA
Anoplostethus opalinus,opal02,NA,-31.95,115.84,ThisManuscript,NA
Anoplostethus opalinus,opal03,NA,-31.75,116.09,PrettyCoolBeetles,opal1
Anoplognathus pallidicollis,pali01,ANIC008588,-35.3,149.13,ThisManuscript,NA
Anoplognathus pallidicollis,pali02,ANIC008590,-35.27,149.1,ThisManuscript,NA
Anoplognathus pallidicollis,pali03,ANIC008525,-31.52,146.1,ThisManuscript,NA
Anoplognathus pallidicollis,pali04,ANIC008529,-34.58,142.77,ThisManuscript,NA
Anoplognathus pallidicollis,pali05,ANIC008530,-34.58,142.77,ThisManuscript,NA
Anoplognathus pallidicollis,pali06,ANIC008532,-24.87,152.35,ThisManuscript,NA
Anoplognathus pallidicollis,pali07,ANIC008533,-27.32,153,ThisManuscript,NA
Anoplognathus pallidicollis,pali08,ANIC006061,-35.27,149.1,PrettyCoolBeetles,pali1
Anoplognathus pallidicollis,pali09,ANIC006062,-35.27,149.1,PrettyCoolBeetles,pali2
Paraschizognathus ocularis,pczo01,NA,-30.36,152.73,ThisManuscript,NA
Paraschizognathus ocularis,pczo02,NA,-30.48,152.66,ThisManuscript,NA
Paraschizognathus ocularis,pczo03,NA,-30.48,152.66,ThisManuscript,NA
Paraschizognathus ocularis,pczo05,NA,-29.28,152.21,PrettyCoolBeetles,ocul2
Paraschizognathus prasinus,pczp01,NA,-33.28,150.13,ThisManuscript,NA
Paraschizognathus prasinus,pczp02,NA,-33.3,150.23,ThisManuscript,NA
Paraschizognathus prasinus,pczp03,NA,-34.4,150.04,ThisManuscript,NA
Paraschizognathus prasinus,pczp04,NA,-34.4,150.04,ThisManuscript,NA
